# Raman tensor in 10^(-30) Cm^2/V
# mode: 8   phonon freq: 3111.638698
# omega(eV)    xx        yy        zz        xy        yz        xz      perp      back
0.87475+0.00000j 4.960e+00-6.696e-03j 0.000e+00+0.000e+00j 8.307e+00-9.375e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.024e+01+0.000e+00j 2.695e+01+0.000e+00j
0.88426+0.00000j 4.980e+00-1.716e-04j 0.000e+00+0.000e+00j 9.919e+00-2.402e-03j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.215e+01+0.000e+00j 3.060e+01+0.000e+00j
0.89377+0.00000j 4.961e+00+0.000e+00j 0.000e+00+0.000e+00j 8.373e+00-9.529e-02j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.031e+01+0.000e+00j 2.710e+01+0.000e+00j
0.90327+0.00000j 4.942e+00+0.000e+00j 0.000e+00+0.000e+00j 6.742e+00-1.932e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 8.555e+00+0.000e+00j 2.351e+01+0.000e+00j
0.91278+0.00000j 6.157e+00+0.000e+00j -1.311e-02+0.000e+00j 6.658e+00-2.097e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 9.106e+00+0.000e+00j 2.563e+01+0.000e+00j
0.92229+0.00000j 7.403e+00+0.000e+00j -1.311e-02+0.000e+00j 6.658e+00-2.097e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.001e+01+0.000e+00j 2.813e+01+0.000e+00j
0.93180+0.00000j 7.431e+00-1.311e-02j 0.000e+00+0.000e+00j 7.823e+00-2.228e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.080e+01+0.000e+00j 3.052e+01+0.000e+00j
0.94131+0.00000j 7.431e+00-1.311e-02j 0.000e+00+0.000e+00j 9.070e+00-2.228e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.184e+01+0.000e+00j 3.309e+01+0.000e+00j
0.95082+0.00000j 7.451e+00+0.000e+00j 0.000e+00+0.000e+00j 8.291e+00-1.210e-01j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.118e+01+0.000e+00j 3.151e+01+0.000e+00j
0.96032+0.00000j 7.470e+00+0.000e+00j 0.000e+00+0.000e+00j 7.495e+00-3.518e-03j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 0.000e+00+0.000e+00j 1.058e+01+0.000e+00j 2.993e+01+0.000e+00j
